studytime,G1
2,5
2,5
2,7
3,15
2,6
2,15
2,12
2,6
2,16
2,14
2,10
3,10
1,14
2,10
3,14
1,14
3,13
2,8
1,6
1,8
2,13
1,12
2,15
2,13
3,10
1,6
1,12
1,15
2,11
2,10
2,9
2,17
2,17
2,8
1,12
1,8
3,15
3,15
3,12
1,14
2,7
1,12
2,19
1,8
2,10
2,8
2,11
4,19
2,15
2,7
2,12
2,11
1,11
1,8
1,10
2,8
2,14
2,14
2,9
2,15
2,10
1,10
2,8
3,10
2,10
2,16
4,13
4,7
2,8
4,16
4,13
4,10
2,8
1,12
2,11
2,9
4,11
4,11
1,8
2,5
1,10
3,11
2,7
2,15
2,9
2,7
2,8
3,13
2,11
2,8
3,7
1,16
2,7
2,11
4,11
4,7
1,11
2,8
1,11
3,7
1,7
3,16
1,10
2,7
2,16
4,10
4,7
3,16
4,10
3,14
1,18
3,7
2,10
1,18
2,9
2,15
2,11
1,13
2,9
1,14
2,16
4,16
2,13
1,14
2,8
1,13
2,7
2,7
1,7
1,18
3,12
1,8
1,10
1,12
2,9
3,11
2,10
1,4
2,14
1,16
4,7
1,9
3,9
1,14
1,5
2,8
2,6
2,10
1,7
1,8
1,6
1,12
3,10
1,5
1,11
2,11
1,16
1,9
1,17
2,10
1,7
2,5
1,7
1,10
2,5
1,12
2,10
2,14
2,6
2,14
1,6
2,13
2,13
2,8
2,10
2,10
2,13
2,6
1,10
2,10
2,9
2,12
2,16
2,9
2,12
2,12
1,11
2,15
2,8
2,8
2,11
2,8
2,7
1,8
1,13
2,14
1,17
1,9
1,18
2,9
2,16
2,8
2,9
1,7
4,10
3,10
2,7
2,11
1,9
3,7
4,8
2,12
2,12
2,6
1,8
2,14
2,6
2,6
1,7
3,9
2,6
3,6
2,16
2,12
3,13
2,9
2,16
2,12
2,10
3,12
2,13
2,11
2,11
2,14
2,9
3,11
2,14
1,13
2,13
2,7
2,12
2,10
1,6
1,13
3,7
1,18
1,12
1,6
2,3
1,13
1,6
2,7
1,6
1,8
1,8
1,7
4,14
2,11
2,15
4,10
2,17
2,8
3,13
3,10
3,9
2,17
2,9
2,12
2,10
2,6
2,9
4,15
2,11
2,15
2,10
2,12
2,10
1,9
2,9
1,10
1,8
1,11
4,12
2,8
2,10
2,12
3,18
3,13
3,15
2,15
2,12
3,15
2,12
4,18
3,14
1,14
2,10
2,10
4,14
1,16
2,12
1,11
3,15
4,17
2,15
2,14
1,17
1,8
2,15
2,12
2,9
2,14
2,13
2,13
3,15
3,13
2,8
3,9
3,11
2,11
2,13
2,11
3,11
3,12
3,16
3,9
1,14
1,11
3,10
3,14
4,9
3,12
2,7
2,8
4,10
3,16
3,14
2,7
4,16
2,9
3,11
2,10
2,16
2,9
3,11
3,13
3,16
3,10
3,13
1,11
2,8
2,13
1,8
1,8
2,13
2,10
2,12
2,12
1,10
3,18
2,13
2,13
2,11
2,16
2,12
2,10
3,13
1,7
1,11
2,14
2,7
1,14
3,13
1,6
3,19
3,8
3,15
2,8
2,15
2,10
2,15
1,7
2,11
1,6
1,6
3,10
1,6
3,7
2,7
2,6
2,9
1,14
1,10
1,11
1,8
